,Balanced Accuracy,Precision,Recall,F1,Kappa,AUC
LogisticRegression,0.576 +/- 0.002,0.743 +/- 0.014,0.168 +/- 0.005,0.274 +/- 0.006,0.211 +/- 0.005,0.758 +/- 0.004
LogisticRegression scaled,0.726 +/- 0.006,0.74 +/- 0.023,0.5 +/- 0.008,0.597 +/- 0.013,0.511 +/- 0.016,0.865 +/- 0.006
RandomForestClassifier,0.856 +/- 0.004,0.973 +/- 0.006,0.718 +/- 0.008,0.826 +/- 0.005,0.787 +/- 0.006,0.932 +/- 0.002
RandomForestClassifier scaled,0.856 +/- 0.004,0.972 +/- 0.006,0.719 +/- 0.008,0.826 +/- 0.005,0.787 +/- 0.006,0.933 +/- 0.001
LGBMClassifier,0.86 +/- 0.009,0.977 +/- 0.006,0.725 +/- 0.018,0.832 +/- 0.012,0.794 +/- 0.014,0.947 +/- 0.003
LGBMClassifier scaled,0.86 +/- 0.009,0.978 +/- 0.006,0.724 +/- 0.018,0.832 +/- 0.012,0.794 +/- 0.014,0.947 +/- 0.003
XGBClassifier,0.865 +/- 0.004,0.956 +/- 0.008,0.738 +/- 0.01,0.833 +/- 0.005,0.794 +/- 0.006,0.951 +/- 0.003
XGBClassifier scaled,0.865 +/- 0.004,0.956 +/- 0.008,0.738 +/- 0.01,0.833 +/- 0.005,0.794 +/- 0.006,0.951 +/- 0.003
MLPClassifier,0.63 +/- 0.08,0.724 +/- 0.188,0.328 +/- 0.229,0.365 +/- 0.174,0.282 +/- 0.13,0.774 +/- 0.019
MLPClassifier scaled,0.841 +/- 0.004,0.93 +/- 0.012,0.697 +/- 0.009,0.797 +/- 0.007,0.751 +/- 0.009,0.919 +/- 0.004
